Temperatur,pH,Lipase_Aktivität_1,Lipase_Aktivität_2,Lipase_Aktivität_3
8.9,6.5,-40.48303973,-15.75234045,-65.85348362
11.0,5.5,-83.94866996,59.15874416,78.8127531
11.0,7.5,110.0394111,91.12973797,82.39265374
12.9,6.5,3063.852432,2945.198902,3082.011422
15.0,5.5,3626.820289,2476.433254,2532.842309
15.0,7.5,4299.943112,3995.052233,3959.608913
16.0,5.09,891.8807734,2112.495235,59.97514446
16.0,6.5,4855.957797,4800.683861,4756.358698
16.0,7.91,233.0900394,17.40470942,-6.448625797
17.9,7.0,5037.455604,5251.521729,6766.907024
20.0,5.08,987.2414299,689.6353647,937.8946857
20.0,6.0,3004.752998,2791.77728,2730.494776
20.0,6.5,3887.193177,3611.073834,2329.626858
20.0,7.9,3771.233319,3750.131562,3809.615704
20.0,8.0,4738.582947,4276.876339,5780.351697
21.0,5.5,2002.672623,2357.614454,2333.405819
21.0,7.5,4868.861585,4996.550615,5047.059114
21.5,7.1,4803.146068,4485.751663,4550.311439
23.1,6.5,4427.67619,4179.564946,4166.386207
25.0,5.5,3796.113431,3612.057632,3726.1497
25.0,5.58,3495.976641,3513.440042,3989.854451
25.0,6.5,3991.732762,4282.324993,4174.733029
25.0,7.0,4401.588347,4509.665325,4526.841332
25.0,7.5,4407.736455,4358.318421,4171.068843
25.0,8.41,4779.487213,4677.29206,4979.550675
27.0,6.5,1950.762474,2080.760478,3360.16642
30.0,6.0,2376.55408,3888.924785,2963.176138
30.0,8.0,3667.488347,3878.238297,3664.328935
32.1,7.0,3293.534746,3353.914627,3922.119025
